SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1597.00,1622.00,1570.05,1612.80,1615.00,1591.60,582,8405,13454059.00,
500003,AEGIS LOGIS ,A ,Q,262.50,279.00,260.60,274.35,272.50,261.85,651,26971,7290153.00,
500008,AMAR RAJA BA,A ,Q,817.00,859.70,817.00,844.95,844.95,798.45,2792,85901,72860200.00,
500009,A.SARABHAI  ,XT,Q,12.00,12.33,11.91,12.04,12.04,12.33,38,20789,251592.00,
500010,HDFC        ,A ,Q,1785.00,1812.70,1763.20,1805.40,1805.40,1773.20,5115,253232,450813071.00,
500012,ANDHRA PETRO,X ,Q,61.40,64.00,61.40,62.45,62.45,64.60,747,259759,16213788.00,
500013,ANSAL INFRAS,B ,Q,25.25,25.55,24.05,24.80,24.85,24.35,148,33253,827369.00,
500014,APPLE FINANC,X ,Q,3.35,3.66,3.35,3.65,3.65,3.49,19,5843,19747.00,
500020,BOM DYEING  ,A ,Q,252.85,257.70,248.15,250.25,250.25,244.70,5820,711036,179862180.00,
500023,ASIANHOTNR  ,T ,Q,259.00,262.55,248.00,262.55,262.55,250.05,18,413,107081.00,
500024,ASSAMCO     ,B ,Q,5.41,5.53,5.27,5.41,5.47,5.54,99,203211,1098912.00,
500027,ATUL LTD.   ,A ,Q,2782.60,2792.95,2735.35,2746.00,2746.00,2735.35,125,484,1334334.00,
500028,ATV PROJECTS,XT,Q,11.50,11.81,11.31,11.60,11.60,11.25,58,28601,331269.00,
500029,AUTOLITE(I) ,B ,Q,76.00,84.40,75.30,81.50,81.50,74.10,1370,137359,11181514.00,
500031,BAJAJ ELECT.,A ,Q,541.25,556.55,515.00,518.90,518.90,536.95,2638,137381,72814260.00,
500032,BAJAJHIND   ,A ,Q,14.25,14.50,13.93,14.04,14.04,14.02,940,1058954,15053567.00,
500033,FORCE MOTR  ,B ,Q,3005.00,3029.95,2959.00,2975.00,2975.00,2984.45,2002,27550,82457101.00,
500034,BAJFINANCE  ,A ,Q,1629.00,1657.05,1629.00,1643.15,1640.00,1639.55,1499,38792,63923714.00,
